,att_map_x,att_map_y,vic_map_x,vic_map_y,round,winner_team,team_num
0,826.5542759592456,210.37263843648213,842.1778398005637,468.84763843648204,1,CTs win,Team 1
1,845.1719867765012,181.0321389793703,770.8923829395187,198.2264929424539,1,CTs win,Team 1
2,599.9511570561457,441.66370792616726,659.1535334923044,328.43200325732903,1,CTs win,Team 1
3,826.1348092347713,280.7808903365907,862.4123943203989,348.99397394136804,1,CTs win,Team 1
4,787.3022436592239,306.4266558089033,758.7598498807718,203.1732899022801,1,CTs win,Team 1
5,894.588689572946,253.84495114006518,802.9316605246044,105.7721498371335,1,CTs win,Team 1
6,863.6491437242576,201.6090662323561,629.3472116843702,292.3919109663409,1,CTs win,Team 1
7,286.0100531107739,297.5528773072747,318.6394157814871,249.50852334419108,2,CTs win,Team 1
8,286.0100531107739,297.5528773072747,328.7530078040321,220.6745385450597,2,CTs win,Team 1
9,241.5105408627791,157.1323018458197,390.29099826577067,229.60570032573287,2,CTs win,Team 1
10,106.3082592672881,364.16365363735076,107.23702037719488,383.08754071661235,2,CTs win,Team 1
11,268.63860286147843,279.0881650380022,325.21969163234337,273.4222584147666,2,CTs win,Team 1
12,507.721222631693,611.4692182410424,537.8308830004878,672.4418973941367,3,CTs win,Team 1
13,485.7651948298288,489.122312703583,451.63358985475827,755.416689569761,3,CTs win,Team 1
14,712.1732061565142,657.9359391965255,559.034939471331,882.4638707926167,3,CTs win,Team 1
15,682.2503116193367,596.8407709011943,697.2529807066985,695.0435532030401,3,CTs win,Team 1
16,696.6295388033817,688.8830958197611,587.3106404454802,781.7133160287731,3,CTs win,Team 1
17,669.1662963364405,605.9634907709012,850.7500270973336,503.0072475570032,4,CTs win,Team 1
18,902.5923206156514,477.0157166123779,674.4798260351181,569.0524972855592,4,CTs win,Team 1
19,912.1617439843919,344.24598262757877,634.347475883373,201.87274701411513,4,CTs win,Team 1
20,737.2250162584002,258.7631378935939,652.875250650336,273.00380021715523,4,CTs win,Team 1
21,796.2314383264687,197.46313789359397,652.4754430414047,158.05922909880564,4,CTs win,Team 1
22,618.1266597116844,293.99348534201954,610.4898655972253,415.50499457111835,4,CTs win,Team 1
23,449.82551349447215,968.1258821932682,459.6485137112508,380.07467426710093,5,CTs win,Team 1
24,505.9306206644266,653.2720955483171,614.7470667136354,658.9790038002171,5,CTs win,Team 1
25,675.2749837415998,716.529733306189,512.9851574355083,646.961536373507,5,CTs win,Team 1
26,652.1652395404292,345.7365363735071,581.6601621775417,446.43968512486424,5,CTs win,Team 1
27,834.733064166486,304.69994571118355,867.772463689573,671.0228759500543,5,CTs win,Team 1
28,612.2839936050293,370.6810803474484,745.7526148926945,198.75347448425623,5,CTs win,Team 1
29,816.5506720138739,272.1621606948969,895.1981086061131,467.9210640608035,5,CTs win,Team 1
30,887.7876652937351,387.4756786102063,789.2213310210275,180.4230727470141,5,CTs win,Team 1
31,199.40450899631477,131.500651465798,122.31381422068068,355.20784473398476,6,CTs win,Team 1
32,566.5201570290484,296.6531487513572,314.2903479297637,196.97111834961993,6,CTs win,Team 1
33,200.03048450032517,374.8894136807818,139.2153696076306,327.6852877307275,6,CTs win,Team 1
34,431.26163830479084,308.23186753528773,554.7791863686863,291.35249728555914,6,CTs win,Team 1
35,431.63502601344027,310.8375135722041,564.9524729704098,289.06047774158526,6,CTs win,Team 1
36,250.70122479947972,253.23420195439735,193.89526880554953,383.9247557003257,6,CTs win,Team 1
37,205.41101235638413,131.18143322475566,249.6354324734446,253.40418023887082,6,CTs win,Team 1
38,491.2019293301539,492.164875135722,417.14808692824624,292.2388707926167,7,CTs win,Team 1
39,621.7919805441145,455.8548588490771,629.2616112074572,450.59796416938116,7,CTs win,Team 1
40,812.8789562107089,249.50526601520085,850.1779481898981,290.0003800217155,7,CTs win,Team 1
41,907.0132505961413,363.3732627578719,802.1743442445263,256.58289902280126,7,CTs win,Team 1
42,561.8464292488619,416.0799402823019,545.7984534196835,422.32090119435395,7,CTs win,Team 1
43,702.3024739865597,283.13740499457117,797.3220518101019,233.4008686210641,7,CTs win,Team 1
44,652.0364933340559,313.75727470141146,812.0926728809885,166.84272529858845,7,CTs win,Team 1
45,661.9326360286148,325.71940825190006,674.7032977455018,168.21992399565693,8,Ts win,Team 2
46,676.2114811402558,250.28946796959826,837.7802406243226,312.2216340933768,8,Ts win,Team 2
47,683.9368767613266,215.5757871878393,612.9546526121829,374.46929967426706,8,Ts win,Team 2
48,696.3739432039887,253.3041802388708,879.1713093431606,326.83094462540714,8,Ts win,Team 2
49,692.8613835898548,203.0985342019544,649.8693298829395,325.14275244299677,8,Ts win,Team 2
50,903.3070940819423,376.0238870792617,737.4931443745935,189.54614549402822,8,Ts win,Team 2
51,896.1384673748104,271.09066232356133,485.9016163559506,302.4665580890337,8,Ts win,Team 2
52,896.0674181660524,270.12589576547236,507.7586880825927,301.3899022801303,8,Ts win,Team 2
53,908.4892965532192,534.8652551574376,823.984933882506,223.19321389793697,8,Ts win,Team 2
54,112.76568935616736,393.1496471226927,122.99582701062215,209.01688382193265,9,CTs win,Team 1
55,598.984124349664,296.0773072747014,477.9759849880772,298.91867535287736,9,CTs win,Team 1
56,257.45799913288533,259.64875135722036,134.70862237155865,343.5505157437568,9,CTs win,Team 1
57,205.52159657489702,343.8942182410424,139.26008020810752,336.607111834962,9,CTs win,Team 1
58,205.44607630609147,342.9984256243214,95.26452417082159,335.20518458197614,9,CTs win,Team 1
59,125.984500325168,347.5782844733985,159.13429438543247,322.7938110749186,9,CTs win,Team 1
60,258.06901690873616,162.40971769815417,127.53159549100369,349.7472584147665,9,CTs win,Team 1
61,615.0861762952526,453.8030944625407,491.4650647626274,448.1288273615635,10,CTs win,Team 1
62,416.88181497940604,348.80567318132466,514.4897131747236,463.7484799131379,10,CTs win,Team 1
63,416.88181497940604,348.80567318132466,509.7938604216345,470.00160152008687,10,CTs win,Team 1
64,447.0953148710167,468.24429967426715,474.9699490570128,335.4048859934853,10,CTs win,Team 1
